State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,Total % Positive,% Positive Last 30 Days,% Positive Last 7 Days,# Tests per 100K,Total # Tests,# Tests per 100K Last 7 Days,Total # Tests Last 7 Days,# Tests per 100K Last 30 Days,Total # Tests Last 30 Days,New Cases,New Deaths
Alabama,1451998,1034836,417162,13181,29613,20027,15336,4691,4,408,268.8,0.1,10-14.9%,25% +,20-24.9%,163657.7188,8054467,726.79,35769,3337.15,164239,1936,0
Alaska,275542,0,0,1868,37666,1296,N/A,N/A,21,177,255.4,2.9,5-7.9%,20-24.9%,20-24.9%,577816.833,4224754,1532.09,11202,6698.83,48979,0,0
American Samoa,8042,0,0,90,16969,33,N/A,N/A,0,69,189.9,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Arizona,2224964,1953161,271803,13501,30568,30901,26882,4019,59,424,185.5,0.8,10-14.9%,25% +,20-24.9%,207185.5705,15376072,531.52,39446,2341.4,173765,0,0
Arkansas,914619,0,0,6229,30307,11804,N/A,N/A,59,391,206.4,2,10-14.9%,15-19.9%,15-19.9%,164707.1033,4991485,659.66,19991,3168,96007,1265,10
California,10844550,10071958,772592,95699,27446,93193,N/A,N/A,304,235,242.2,0.8,N/A,N/A,N/A,393422.4932,154882874,1818.63,715959,9823.74,3867417,0,0
Colorado,1612701,1460345,152356,7523,28004,13073,11523,1550,38,227,130.6,0.7,8-9.9%,10-14.9%,5-7.9%,300025.4489,17424635,1843.27,107052,8106.35,470794,1067,5
Connecticut,863132,772581,90551,5262,24209,11164,9124,2040,34,313,147.6,1,5-7.9%,10-14.9%,10-14.9%,432381.2217,15379826,1490.75,53026,5509.35,195968,825,1
Delaware,297879,270801,27078,2052,30590,3028,2720,308,2,310,210.7,0.2,8-9.9%,15-19.9%,15-19.9%,393621.4607,3884292,1492.69,14730,6149.21,60681,362,0
District of Columbia,164373,0,0,944,23291,1374,N/A,N/A,5,194,133.8,0.7,3-4.9%,10-14.9%,8-9.9%,770126.7929,5489587,2485.63,17718,13269.06,94584,120,5
Federated States of Micronesia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,6909415,0,0,54353,32170,78556,N/A,N/A,97,365,253.1,0.5,10-14.9%,20-24.9%,20-24.9%,284141.897,61753445,1201.75,261181,5727.96,1244875,7796,0
Georgia,2803517,2164549,638968,24937,26405,39319,32611,6708,146,370,234.9,1.4,10-14.9%,20-24.9%,20-24.9%,167637.7451,17954031,903.25,96738,3900.13,417705,0,0
Guam,56625,0,0,700,33608,385,N/A,N/A,3,228,415.5,1.8,10-14.9%,25% +,25% +,197833.6865,333328,882.55,1487,3399.63,5728,258,1
Hawaii,324519,0,0,3141,22920,1594,N/A,N/A,14,112,221.8,1,5-7.9%,15-19.9%,10-14.9%,262798.1686,3697586,971.14,13664,5139,72306,0,0
