,covid_hospital_admissions_per_100k,covid_cases_per_100k,doses_per_100k,case_rate_per_100k,death_rate_per_100k,clusters,cluster
0,2.1,156.14,259981.0,16969.0,69.0,1,purple
1,19.0,434.67,259981.0,16969.0,69.0,1,purple
2,6.3,901.0,259981.0,16969.0,69.0,1,purple
3,0.0,1093.01,259981.0,16969.0,69.0,1,purple
4,80.2,267.98,259981.0,16969.0,69.0,1,purple
5,10.6,324.95,259981.0,16969.0,69.0,1,purple
6,2.1,118.16,259981.0,16969.0,69.0,1,purple
7,0.0,248.99,259981.0,16969.0,69.0,1,purple
8,19.0,3143.99,259981.0,16969.0,69.0,1,purple
9,25.3,2561.61,259981.0,16969.0,69.0,1,purple
10,48.5,3238.94,259981.0,16969.0,69.0,1,purple
11,0.0,156.14,259981.0,16969.0,69.0,1,purple
13,5.4,173.02,259981.0,16969.0,69.0,1,purple
14,12.6,151.92,259981.0,16969.0,69.0,1,purple
15,3.6,0.0,259981.0,16969.0,69.0,1,purple
16,5.4,164.58,259981.0,16969.0,69.0,1,purple
17,10.8,0.0,259981.0,16969.0,69.0,1,purple
18,7.2,151.92,259981.0,16969.0,69.0,1,purple
19,43.3,192.02,259981.0,16969.0,69.0,1,purple
20,28.8,0.0,259981.0,16969.0,69.0,1,purple
21,75.7,2038.32,259981.0,16969.0,69.0,1,purple
23,1.8,189.91,259981.0,16969.0,69.0,1,purple
24,38.6,833.88,203669.0,33608.0,228.0,2,dark purple
25,77.2,450.47,203669.0,33608.0,228.0,2,dark purple
26,83.1,385.78,203669.0,33608.0,228.0,2,dark purple
27,63.5,99.71,203669.0,33608.0,228.0,2,dark purple
28,45.7,130.57,203669.0,33608.0,228.0,2,dark purple
29,11.5,483.12,203669.0,33608.0,228.0,2,dark purple
30,27.9,125.23,203669.0,33608.0,228.0,2,dark purple
31,23.7,112.17,203669.0,33608.0,228.0,2,dark purple
32,1.8,99.12,203669.0,33608.0,228.0,2,dark purple
33,78.3,151.94,203669.0,33608.0,228.0,2,dark purple
34,101.5,213.07,203669.0,33608.0,228.0,2,dark purple
35,17.8,147.78,203669.0,33608.0,228.0,2,dark purple
36,1.8,116.92,203669.0,33608.0,228.0,2,dark purple
37,3.0,210.7,203669.0,33608.0,228.0,2,dark purple
38,4.2,143.04,203669.0,33608.0,228.0,2,dark purple
39,4.2,306.84,203669.0,33608.0,228.0,2,dark purple
40,4.2,419.02,203669.0,33608.0,228.0,2,dark purple
41,4.2,355.51,203669.0,33608.0,228.0,2,dark purple
42,9.0,442.76,203669.0,33608.0,228.0,2,dark purple
43,7.2,483.71,203669.0,33608.0,228.0,2,dark purple
44,6.6,417.83,203669.0,33608.0,228.0,2,dark purple
45,12.1,454.04,203669.0,33608.0,228.0,2,dark purple
46,10.9,530.6,203669.0,33608.0,228.0,2,dark purple
47,14.5,323.46,203669.0,33608.0,228.0,2,dark purple
48,20.9,140.84,215187.0,29613.0,408.0,2,dark purple
49,5.6,283.57,215187.0,29613.0,408.0,2,dark purple
50,5.6,409.53,215187.0,29613.0,408.0,2,dark purple
51,20.9,156.93,215187.0,29613.0,408.0,2,dark purple
52,20.9,128.44,215187.0,29613.0,408.0,2,dark purple
53,28.7,172.39,215187.0,29613.0,408.0,2,dark purple
54,23.4,96.88,215187.0,29613.0,408.0,2,dark purple
55,7.8,325.97,215187.0,29613.0,408.0,2,dark purple
56,13.8,168.23,215187.0,29613.0,408.0,2,dark purple
57,5.9,191.35,215187.0,29613.0,408.0,2,dark purple
58,15.5,152.14,215187.0,29613.0,408.0,2,dark purple
59,16.2,99.9,215187.0,29613.0,408.0,2,dark purple
60,20.9,81.02,215187.0,29613.0,408.0,2,dark purple
61,23.4,125.03,215187.0,29613.0,408.0,2,dark purple
62,23.4,193.68,215187.0,29613.0,408.0,2,dark purple
63,15.5,79.2,215187.0,29613.0,408.0,2,dark purple
64,0.0,113.12,215187.0,29613.0,408.0,2,dark purple
65,20.8,177.81,215187.0,29613.0,408.0,2,dark purple
66,13.0,99.24,215187.0,29613.0,408.0,2,dark purple
67,20.2,148.88,215187.0,29613.0,408.0,2,dark purple
68,23.4,272.35,215187.0,29613.0,408.0,2,dark purple
69,18.3,270.08,215187.0,29613.0,408.0,2,dark purple
70,16.2,182.03,215187.0,29613.0,408.0,2,dark purple
71,13.5,188.89,215187.0,29613.0,408.0,2,dark purple
72,20.8,127.43,215187.0,29613.0,408.0,2,dark purple
73,20.9,84.06,215187.0,29613.0,408.0,2,dark purple
74,13.8,161.11,215187.0,29613.0,408.0,2,dark purple
75,16.6,82.87,215187.0,29613.0,408.0,2,dark purple
76,13.5,271.97,215187.0,29613.0,408.0,2,dark purple
77,15.5,99.87,215187.0,29613.0,408.0,2,dark purple
78,15.5,101.66,215187.0,29613.0,408.0,2,dark purple
79,23.4,173.1,215187.0,29613.0,408.0,2,dark purple
80,20.9,122.02,215187.0,29613.0,408.0,2,dark purple
81,8.0,115.6,215187.0,29613.0,408.0,2,dark purple
82,20.2,149.62,215187.0,29613.0,408.0,2,dark purple
83,9.2,102.21,215187.0,29613.0,408.0,2,dark purple
84,16.6,81.89,215187.0,29613.0,408.0,2,dark purple
85,20.2,123.21,215187.0,29613.0,408.0,2,dark purple
86,8.7,779.05,215187.0,29613.0,408.0,2,dark purple
87,13.8,178.56,215187.0,29613.0,408.0,2,dark purple
88,9.2,73.54,215187.0,29613.0,408.0,2,dark purple
89,28.7,182.99,215187.0,29613.0,408.0,2,dark purple
90,15.5,61.69,215187.0,29613.0,408.0,2,dark purple
91,9.2,88.55,215187.0,29613.0,408.0,2,dark purple
92,28.7,171.09,215187.0,29613.0,408.0,2,dark purple
93,8.0,683.88,215187.0,29613.0,408.0,2,dark purple
94,8.7,185.13,215187.0,29613.0,408.0,2,dark purple
95,20.2,100.23,215187.0,29613.0,408.0,2,dark purple
96,16.2,162.87,215187.0,29613.0,408.0,2,dark purple
97,16.2,106.11,215187.0,29613.0,408.0,2,dark purple
98,15.5,102.88,215187.0,29613.0,408.0,2,dark purple
99,5.9,198.87,215187.0,29613.0,408.0,2,dark purple
100,8.0,246.55,215187.0,29613.0,408.0,2,dark purple
101,5.6,396.39,215187.0,29613.0,408.0,2,dark purple
102,15.5,102.68,215187.0,29613.0,408.0,2,dark purple
103,13.0,35.21,215187.0,29613.0,408.0,2,dark purple
104,15.8,67.29,215187.0,29613.0,408.0,2,dark purple
105,23.4,121.77,215187.0,29613.0,408.0,2,dark purple
106,23.4,148.83,215187.0,29613.0,408.0,2,dark purple
107,18.3,458.68,215187.0,29613.0,408.0,2,dark purple
108,13.5,233.81,215187.0,29613.0,408.0,2,dark purple
109,9.2,133.77,215187.0,29613.0,408.0,2,dark purple
110,5.6,283.73,215187.0,29613.0,408.0,2,dark purple
111,23.4,181.04,215187.0,29613.0,408.0,2,dark purple
112,16.2,128.63,215187.0,29613.0,408.0,2,dark purple
113,8.0,241.01,215187.0,29613.0,408.0,2,dark purple
114,13.8,355.5,215187.0,29613.0,408.0,2,dark purple
115,11.9,137.82,215187.0,29613.0,408.0,2,dark purple
116,11.3,90.94,215187.0,29613.0,408.0,2,dark purple
117,15.1,52.66,215187.0,29613.0,408.0,2,dark purple
118,13.9,49.12,215187.0,29613.0,408.0,2,dark purple
119,13.9,138.35,215187.0,29613.0,408.0,2,dark purple
120,11.9,19.8,215187.0,29613.0,408.0,2,dark purple
121,15.4,46.28,215187.0,29613.0,408.0,2,dark purple
122,2.9,293.12,215187.0,29613.0,408.0,2,dark purple
123,6.8,39.09,215187.0,29613.0,408.0,2,dark purple
124,6.7,99.25,215187.0,29613.0,408.0,2,dark purple
125,13.9,285.86,215187.0,29613.0,408.0,2,dark purple
126,13.2,278.02,215187.0,29613.0,408.0,2,dark purple
127,11.3,101.6,215187.0,29613.0,408.0,2,dark purple
128,7.7,37.78,215187.0,29613.0,408.0,2,dark purple
129,2.9,67.07,215187.0,29613.0,408.0,2,dark purple
130,15.1,45.85,215187.0,29613.0,408.0,2,dark purple
131,15.3,153.87,215187.0,29613.0,408.0,2,dark purple
132,12.1,66.3,215187.0,29613.0,408.0,2,dark purple
133,7.7,150.05,215187.0,29613.0,408.0,2,dark purple
134,11.9,56.68,215187.0,29613.0,408.0,2,dark purple
135,11.9,7.26,215187.0,29613.0,408.0,2,dark purple
136,13.9,179.07,215187.0,29613.0,408.0,2,dark purple
137,15.1,52.88,215187.0,29613.0,408.0,2,dark purple
138,1.3,86.03,215187.0,29613.0,408.0,2,dark purple
139,6.7,92.29,215187.0,29613.0,408.0,2,dark purple
140,4.3,76.35,215187.0,29613.0,408.0,2,dark purple
141,12.1,79.16,215187.0,29613.0,408.0,2,dark purple
142,6.7,60.63,215187.0,29613.0,408.0,2,dark purple
143,8.7,1386.33,215187.0,29613.0,408.0,2,dark purple
144,15.3,114.79,215187.0,29613.0,408.0,2,dark purple
145,15.1,114.19,215187.0,29613.0,408.0,2,dark purple
146,2.8,73.97,215187.0,29613.0,408.0,2,dark purple
147,2.8,109.21,215187.0,29613.0,408.0,2,dark purple
148,15.1,104.62,215187.0,29613.0,408.0,2,dark purple
149,15.1,95.39,215187.0,29613.0,408.0,2,dark purple
150,27.1,102.66,215187.0,29613.0,408.0,2,dark purple
151,13.9,77.14,215187.0,29613.0,408.0,2,dark purple
152,2.0,449.11,215187.0,29613.0,408.0,2,dark purple
153,15.3,114.31,215187.0,29613.0,408.0,2,dark purple
154,13.1,185.28,215187.0,29613.0,408.0,2,dark purple
155,4.3,37.07,215187.0,29613.0,408.0,2,dark purple
156,27.1,114.24,215187.0,29613.0,408.0,2,dark purple
157,11.9,10.28,215187.0,29613.0,408.0,2,dark purple
158,4.3,38.74,215187.0,29613.0,408.0,2,dark purple
159,27.1,130.33,215187.0,29613.0,408.0,2,dark purple
160,1.3,42.41,215187.0,29613.0,408.0,2,dark purple
161,8.7,141.37,215187.0,29613.0,408.0,2,dark purple
162,6.7,43.4,215187.0,29613.0,408.0,2,dark purple
163,11.3,244.19,215187.0,29613.0,408.0,2,dark purple
164,11.3,19.29,215187.0,29613.0,408.0,2,dark purple
165,11.9,74.62,215187.0,29613.0,408.0,2,dark purple
166,13.1,143.72,215187.0,29613.0,408.0,2,dark purple
167,1.3,67.24,215187.0,29613.0,408.0,2,dark purple
168,2.8,255.9,215187.0,29613.0,408.0,2,dark purple
169,11.9,63.42,215187.0,29613.0,408.0,2,dark purple
170,6.8,48.41,215187.0,29613.0,408.0,2,dark purple
171,14.9,51.76,215187.0,29613.0,408.0,2,dark purple
172,13.9,97.19,215187.0,29613.0,408.0,2,dark purple
173,13.9,117.59,215187.0,29613.0,408.0,2,dark purple
174,13.2,257.5,215187.0,29613.0,408.0,2,dark purple
175,7.7,278.83,215187.0,29613.0,408.0,2,dark purple
176,4.3,81.75,215187.0,29613.0,408.0,2,dark purple
177,2.8,221.63,215187.0,29613.0,408.0,2,dark purple
178,13.9,100.75,215187.0,29613.0,408.0,2,dark purple
179,11.3,287.88,215187.0,29613.0,408.0,2,dark purple
180,1.3,86.76,215187.0,29613.0,408.0,2,dark purple
181,15.3,152.36,215187.0,29613.0,408.0,2,dark purple
182,10.8,47.45,215187.0,29613.0,408.0,2,dark purple
183,5.2,48.33,215187.0,29613.0,408.0,2,dark purple
184,17.4,45.69,215187.0,29613.0,408.0,2,dark purple
185,7.6,40.51,215187.0,29613.0,408.0,2,dark purple
186,8.9,102.71,215187.0,29613.0,408.0,2,dark purple
187,8.9,121.05,215187.0,29613.0,408.0,2,dark purple
188,5.2,29.7,215187.0,29613.0,408.0,2,dark purple
189,15.4,20.57,215187.0,29613.0,408.0,2,dark purple
190,0.0,301.04,215187.0,29613.0,408.0,2,dark purple
191,4.2,33.08,215187.0,29613.0,408.0,2,dark purple
192,5.4,53.44,215187.0,29613.0,408.0,2,dark purple
193,8.9,328.62,215187.0,29613.0,408.0,2,dark purple
194,5.7,47.66,215187.0,29613.0,408.0,2,dark purple
195,17.4,38.1,215187.0,29613.0,408.0,2,dark purple
196,20.2,98.22,215187.0,29613.0,408.0,2,dark purple
197,0.0,87.19,215187.0,29613.0,408.0,2,dark purple
198,7.6,42.03,215187.0,29613.0,408.0,2,dark purple
199,10.8,97.75,215187.0,29613.0,408.0,2,dark purple
200,6.0,24.86,215187.0,29613.0,408.0,2,dark purple
201,20.2,112.54,215187.0,29613.0,408.0,2,dark purple
202,5.2,13.5,215187.0,29613.0,408.0,2,dark purple
203,5.2,65.35,215187.0,29613.0,408.0,2,dark purple
204,8.9,48.94,215187.0,29613.0,408.0,2,dark purple
205,7.6,12.2,215187.0,29613.0,408.0,2,dark purple
206,2.7,86.03,215187.0,29613.0,408.0,2,dark purple
207,5.4,125.85,215187.0,29613.0,408.0,2,dark purple
208,1.0,48.02,215187.0,29613.0,408.0,2,dark purple
209,6.0,10.92,215187.0,29613.0,408.0,2,dark purple
210,5.4,33.25,215187.0,29613.0,408.0,2,dark purple
211,4.3,220.83,215187.0,29613.0,408.0,2,dark purple
212,10.8,51.02,215187.0,29613.0,408.0,2,dark purple
213,7.6,60.9,215187.0,29613.0,408.0,2,dark purple
214,2.4,49.32,215187.0,29613.0,408.0,2,dark purple
